time,ecg,bvp,gsr,rsp,skt,emg_zygo,emg_coru,emg_trap
0,0.826,36.195,10.44,36.283,20.261,5.811,6.836,5.647
1,0.826,36.292,10.428,36.283,20.267,5.891,6.837,5.686
2,0.804,36.341,10.483,36.302,20.264,5.973,6.877,5.727
3,0.813,36.083,10.406,36.341,20.278,6.015,7.0,5.809
4,0.816,36.224,10.487,36.341,20.281,6.056,6.96,5.891
5,0.797,36.302,10.511,36.331,20.278,6.015,7.0,5.973
6,0.794,36.246,10.538,36.303,20.274,5.974,6.879,5.771
7,0.78,36.082,10.418,36.312,20.271,5.974,6.877,5.809
8,0.787,36.195,10.483,36.312,20.271,5.933,6.959,5.891
9,0.8,36.302,10.46,36.302,20.274,5.974,7.0,5.77
10,0.787,36.025,10.515,36.312,20.271,5.974,6.879,5.809
11,0.793,36.108,10.453,36.302,20.274,6.015,6.918,5.81
12,0.787,36.224,10.448,36.321,20.274,5.974,6.919,5.81
13,0.797,36.35,10.471,36.312,20.274,5.974,6.959,5.81
14,0.787,35.958,10.491,36.312,20.271,5.933,6.919,5.81
15,0.774,36.06,10.507,36.293,20.271,5.852,6.878,5.728
16,0.767,36.186,10.363,36.273,20.261,5.81,6.837,5.646
17,0.783,36.273,10.478,36.292,20.264,5.81,6.837,5.645
18,0.771,35.996,10.437,36.312,20.267,5.891,6.918,5.727
19,0.77,36.118,10.53,36.312,20.264,5.892,6.959,5.727
20,0.764,36.224,10.539,36.302,20.264,5.851,6.919,5.727
21,0.748,36.293,10.484,36.302,20.271,5.81,6.919,5.727
22,0.744,35.948,10.495,36.302,20.267,5.891,6.878,5.727
23,0.738,36.088,10.456,36.283,20.271,5.77,6.877,5.687
24,0.747,36.186,10.526,36.302,20.271,5.85,6.918,5.646
25,0.738,36.263,10.476,36.388,20.271,5.851,6.919,5.686
26,0.744,35.948,10.48,36.313,20.267,5.891,6.837,5.727
27,0.757,36.098,10.444,36.341,20.274,5.973,6.918,5.768
28,0.761,36.224,10.557,36.36,20.288,6.096,7.041,5.809
29,0.77,36.226,10.57,36.341,20.282,6.056,7.082,5.85
30,0.761,36.015,10.465,36.322,20.278,5.934,6.961,5.81
31,0.767,36.128,10.511,36.322,20.271,5.892,6.96,5.728
32,0.767,36.234,10.468,36.331,20.267,5.973,6.96,5.768
33,0.767,36.552,10.519,36.322,20.271,5.893,6.96,5.768
34,0.767,35.98,10.445,36.322,20.271,5.933,6.96,5.809
35,0.757,36.108,10.487,36.331,20.278,5.974,6.96,5.769
36,0.777,36.205,10.46,36.322,20.278,5.974,6.96,5.728
37,0.79,35.995,10.491,36.312,20.278,5.974,7.0,5.727
38,0.771,36.012,10.468,36.341,20.278,6.015,6.96,5.809
39,0.754,36.118,10.401,36.331,20.268,5.934,6.96,5.728
40,0.748,36.205,10.494,36.303,20.261,5.892,6.96,5.727
41,0.738,35.861,10.445,36.302,20.26,5.811,6.838,5.605
42,0.757,36.001,10.55,36.312,20.271,5.891,6.918,5.686
43,0.748,36.118,10.426,36.321,20.278,5.933,6.959,5.687
44,0.747,36.205,10.479,36.322,20.268,5.892,6.919,5.727
45,0.744,35.909,10.468,36.322,20.278,5.933,6.919,5.727
46,0.747,36.031,10.515,36.322,20.278,5.892,6.959,5.646
47,0.738,36.176,10.406,36.322,20.274,5.851,6.96,5.727
48,0.738,36.244,10.483,36.341,20.264,5.891,6.96,5.768
49,0.754,35.765,10.456,36.303,20.271,5.892,6.919,5.647
50,0.757,35.895,10.46,36.331,20.271,5.811,6.919,5.727
51,0.761,36.03,10.561,36.35,20.271,5.932,6.959,5.727
52,0.78,36.109,10.465,36.37,20.281,5.974,7.082,5.85
53,0.784,35.985,10.526,36.36,20.285,6.015,7.123,5.891
54,0.784,36.089,10.472,36.351,20.278,5.934,7.124,5.851
55,0.78,36.186,10.53,36.341,20.274,5.933,7.043,5.769
56,0.774,36.263,10.422,36.341,20.271,5.892,7.082,5.768
57,0.78,35.862,10.444,36.331,20.274,5.892,7.042,5.768
58,0.767,35.992,10.483,36.331,20.268,5.892,7.123,5.728
59,0.764,36.099,10.468,36.36,20.274,5.973,7.083,5.768
60,0.764,36.119,10.554,36.351,20.274,5.974,7.123,5.809
61,0.754,35.946,10.476,36.351,20.271,6.015,7.083,5.728
62,0.764,36.088,10.476,36.36,20.278,5.974,7.123,5.768
63,0.748,36.205,10.476,36.36,20.278,5.974,7.083,5.768
64,0.744,36.053,10.526,36.351,20.268,5.893,7.042,5.728
65,0.747,35.84,10.472,36.332,20.264,5.811,7.001,5.687
66,0.734,35.982,10.46,36.331,20.264,5.81,6.919,5.687
67,0.728,36.089,10.483,36.341,20.271,5.891,6.919,5.646
68,0.741,35.85,10.476,36.351,20.267,5.933,7.041,5.686
69,0.747,35.944,10.511,36.332,20.271,5.852,7.123,5.646
70,0.738,36.05,10.476,36.322,20.267,5.891,7.043,5.727
71,0.747,36.138,10.448,36.37,20.274,5.892,7.082,5.727
72,0.757,35.726,10.417,36.351,20.268,5.973,7.123,5.727
73,0.774,35.856,10.51,36.341,20.271,5.811,7.083,5.687
74,0.787,35.963,10.414,36.341,20.267,5.85,7.083,5.687
75,0.813,36.07,10.483,36.331,20.271,5.891,7.083,5.646
76,0.829,35.84,10.511,36.36,20.274,5.851,7.123,5.686
77,0.859,35.992,10.523,36.37,20.274,5.932,7.287,5.727
78,0.882,36.127,10.562,36.399,20.285,6.014,7.329,5.89
79,0.898,36.177,10.492,36.38,20.285,5.974,7.37,5.892
80,0.921,35.899,10.456,36.361,20.278,5.893,7.289,5.77
81,0.951,36.04,10.444,36.36,20.274,5.851,7.329,5.768
82,0.977,36.176,10.503,36.36,20.274,5.81,7.289,5.809
83,1.0,36.196,10.464,36.351,20.271,5.85,7.247,5.81
84,1.026,35.784,10.483,36.36,20.271,5.81,7.328,5.81
85,1.04,35.924,10.448,36.379,20.278,5.932,7.289,5.972
86,1.069,36.05,10.522,36.38,20.271,5.852,7.329,5.974
87,1.063,36.07,10.542,36.389,20.278,5.81,7.289,6.015
88,1.079,35.84,10.441,36.38,20.278,5.85,7.288,6.096
89,1.092,35.992,10.468,36.389,20.278,5.851,7.288,6.138
90,1.096,36.07,10.456,36.37,20.274,5.769,7.207,6.179
91,1.083,36.397,10.456,36.351,20.264,5.728,7.165,6.22
92,1.063,35.805,10.475,36.332,20.264,5.727,7.084,6.22
93,1.037,35.943,10.472,36.379,20.271,5.727,7.123,6.261
94,1.03,36.069,10.441,36.361,20.274,5.727,7.205,6.465
95,1.004,35.792,10.518,36.36,20.271,5.768,7.247,6.589
96,0.948,35.818,10.492,36.36,20.264,5.728,7.166,6.671
97,0.909,35.953,10.437,36.351,20.271,5.768,7.206,6.631
98,0.86,36.041,10.432,36.36,20.267,5.768,7.125,6.712
99,0.823,35.735,10.483,36.36,20.271,5.687,7.124,6.713
100,0.797,35.856,10.448,36.36,20.267,5.687,7.083,6.794
101,0.754,35.973,10.538,36.351,20.264,5.687,7.123,6.795
102,0.738,36.089,10.445,36.36,20.267,5.768,7.083,6.917
103,0.744,35.754,10.452,36.37,20.281,5.728,7.164,7.041
104,0.747,35.895,10.526,36.408,20.285,5.85,7.206,7.204
105,0.715,36.011,10.484,36.409,20.278,5.851,7.206,7.45
106,0.653,36.051,10.472,36.39,20.271,5.729,7.084,7.574
107,0.597,35.783,10.405,36.389,20.274,5.727,7.002,7.82
108,0.538,35.933,10.491,36.389,20.274,5.809,7.082,8.229
109,0.501,36.021,10.538,36.37,20.268,5.728,7.083,8.68
110,0.462,36.099,10.55,36.37,20.271,5.727,7.123,9.335
111,0.429,35.822,10.515,36.389,20.271,5.727,7.124,10.033
112,0.373,35.972,10.464,36.38,20.274,5.727,7.083,10.812
113,0.288,36.089,10.495,36.399,20.274,5.727,7.123,11.592
114,0.229,36.128,10.491,36.38,20.278,5.727,7.124,12.454
115,0.215,35.755,10.503,36.389,20.274,5.727,7.124,13.195
116,0.215,35.856,10.429,36.37,20.268,5.727,7.083,13.771
117,0.189,35.953,10.483,36.36,20.264,5.605,6.92,14.265
118,0.186,35.974,10.55,36.36,20.264,5.523,6.959,14.676
119,0.202,35.734,10.496,36.389,20.271,5.644,7.122,15.168
120,0.189,35.856,10.511,36.399,20.271,5.727,7.124,15.295
121,0.202,35.953,10.492,36.38,20.274,5.687,7.165,15.54
122,0.218,35.916,10.495,36.38,20.271,5.727,7.206,15.624
123,0.241,35.82,10.46,36.389,20.264,5.687,7.206,15.828
124,0.281,35.943,10.499,36.466,20.267,5.646,7.287,15.912
125,0.32,36.05,10.413,36.371,20.271,5.564,7.247,16.034
126,0.346,35.687,10.498,36.37,20.267,5.645,7.206,16.076
127,0.399,35.798,10.468,36.38,20.267,5.645,7.287,16.361
128,0.432,35.924,10.476,36.38,20.271,5.645,7.329,16.689
129,0.471,36.04,10.386,36.418,20.278,5.686,7.37,17.099
130,0.504,35.687,10.494,36.418,20.281,5.768,7.492,17.591
131,0.547,35.817,10.468,36.418,20.278,5.728,7.412,18.084
132,0.58,35.886,10.53,36.409,20.274,5.646,7.452,18.455
133,0.606,35.982,10.414,36.399,20.271,5.645,7.452,18.784
134,0.642,35.629,10.491,36.399,20.271,5.564,7.412,19.153
135,0.668,35.769,10.523,36.389,20.267,5.726,7.411,19.279
136,0.675,35.895,10.496,36.399,20.267,5.687,7.411,19.524
137,0.701,35.963,10.464,36.399,20.271,5.768,7.452,19.73
138,0.708,35.743,10.425,36.428,20.278,5.647,7.371,19.65
139,0.708,35.904,10.475,36.418,20.278,5.727,7.452,19.649
140,0.721,36.011,10.448,36.418,20.274,5.687,7.493,19.446
141,0.718,36.06,10.542,36.399,20.278,5.687,7.371,19.282
142,0.724,35.716,10.453,36.399,20.271,5.727,7.37,18.955
143,0.728,35.837,10.483,36.38,20.261,5.605,7.289,18.626
144,0.754,35.944,10.507,36.389,20.264,5.645,7.247,18.257
145,0.764,35.983,10.507,36.389,20.271,5.645,7.288,18.009
146,0.783,35.734,10.488,36.399,20.267,5.686,7.288,17.722
147,0.787,35.885,10.472,36.399,20.271,5.646,7.288,17.394
148,0.797,35.982,10.491,36.389,20.264,5.645,7.247,17.147
149,0.794,36.242,10.46,36.399,20.267,5.605,7.247,16.657
150,0.79,35.737,10.526,36.37,20.267,5.645,7.166,16.408
151,0.803,35.866,10.48,36.389,20.267,5.645,7.206,16.039
152,0.81,35.963,10.499,36.38,20.274,5.564,7.125,15.71
153,0.816,35.657,10.46,36.389,20.268,5.604,7.083,15.382
154,0.816,35.692,10.526,36.409,20.267,5.726,7.123,15.094
155,0.829,35.827,10.488,36.418,20.278,5.727,7.205,14.847
156,0.839,35.943,10.491,36.438,20.285,5.768,7.287,14.601
157,0.843,35.695,10.488,36.419,20.281,5.809,7.247,14.314
158,0.82,35.817,10.503,36.399,20.271,5.647,7.125,13.986
159,0.807,35.943,10.562,36.399,20.278,5.645,7.083,13.657
160,0.813,36.012,10.469,36.399,20.271,5.686,7.083,13.45
161,0.823,35.543,10.464,36.418,20.274,5.605,7.123,13.204
162,0.83,35.72,10.487,36.409,20.271,5.564,7.083,12.999
163,0.813,35.837,10.507,36.409,20.274,5.685,7.083,12.793
164,0.813,35.915,10.492,36.409,20.278,5.646,7.083,12.588
165,0.829,35.695,10.468,36.428,20.278,5.645,7.123,12.464
166,0.833,35.837,10.515,36.409,20.274,5.645,7.124,12.178
167,0.826,35.934,10.499,36.418,20.268,5.605,7.083,12.013
168,0.83,35.964,10.534,36.399,20.264,5.604,6.961,11.726
169,0.826,35.571,10.453,36.38,20.264,5.442,6.96,11.52
170,0.833,35.72,10.444,36.38,20.264,5.44,6.878,11.274
171,0.849,35.875,10.452,36.399,20.274,5.521,6.877,11.272
172,0.849,35.915,10.495,36.409,20.271,5.563,6.959,11.19
173,0.853,35.666,10.437,36.409,20.271,5.523,6.878,10.986
174,0.846,35.798,10.467,36.418,20.267,5.563,6.918,10.781
175,0.866,35.886,10.46,36.409,20.271,5.523,6.878,10.657
176,0.856,35.896,10.518,36.399,20.271,5.482,6.796,10.493
177,0.856,35.609,10.507,36.389,20.264,5.522,6.877,10.369
178,0.849,35.74,10.453,36.399,20.267,5.441,6.796,10.246
179,0.84,35.856,10.499,36.418,20.264,5.44,6.877,10.082
180,0.846,35.733,10.452,36.409,20.271,5.44,6.796,9.959
181,0.846,35.684,10.483,36.437,20.271,5.481,6.917,9.876
182,0.853,35.827,10.476,36.438,20.285,5.522,6.919,9.794
183,0.849,35.934,10.507,36.457,20.285,5.603,7.041,9.834
184,0.849,35.571,10.492,36.438,20.278,5.604,6.96,9.631
185,0.846,35.644,10.511,36.419,20.274,5.401,6.919,9.507
186,0.843,35.769,10.527,36.438,20.271,5.44,6.837,9.343
187,0.856,35.895,10.41,36.428,20.278,5.481,6.918,9.219
188,0.869,35.513,10.479,36.438,20.271,5.522,6.837,9.178
189,0.863,35.653,10.421,36.428,20.274,5.563,6.837,9.096
190,0.862,35.769,10.491,36.447,20.271,5.563,6.837,9.014
191,0.869,35.847,10.503,36.428,20.274,5.563,6.877,8.972
192,0.879,35.627,10.449,36.447,20.278,5.482,6.918,8.931
193,0.905,35.778,10.421,36.438,20.278,5.522,6.878,8.768
194,0.886,35.866,10.51,36.428,20.271,5.522,6.837,8.645
195,0.856,35.925,10.507,36.399,20.267,5.441,6.796,8.562
196,0.856,35.436,10.429,36.428,20.261,5.399,6.673,8.439
197,0.869,35.575,10.483,36.39,20.264,5.399,6.631,8.316
198,0.869,35.711,10.433,36.409,20.274,5.44,6.631,8.274
199,0.866,35.779,10.522,36.437,20.268,5.481,6.712,8.274
200,0.866,35.646,10.503,36.438,20.274,5.481,6.754,8.274
201,0.853,35.788,10.531,36.409,20.278,5.481,6.714,8.193
202,0.856,35.895,10.433,36.418,20.268,5.481,6.713,8.11
203,0.846,35.906,10.495,36.418,20.267,5.481,6.794,8.109
204,0.849,35.58,10.491,36.409,20.264,5.44,6.714,7.987
205,0.843,35.73,10.48,36.428,20.26,5.44,6.672,7.986
206,0.866,35.827,10.464,36.447,20.264,5.481,6.672,7.986
207,0.876,35.991,10.476,36.428,20.271,5.481,6.835,7.905
208,0.885,35.571,10.558,36.457,20.278,5.562,6.877,7.945
209,0.892,35.711,10.496,36.467,20.281,5.645,6.918,7.986
210,0.886,35.779,10.511,36.457,20.281,5.483,6.959,7.946
211,0.889,35.559,10.46,36.448,20.278,5.522,6.838,7.783
212,0.899,35.624,10.464,36.438,20.271,5.522,6.837,7.7
213,0.879,35.74,10.507,36.457,20.271,5.563,6.918,7.658
214,0.892,35.837,10.39,36.457,20.274,5.482,6.878,7.617
215,0.886,35.503,10.444,36.448,20.268,5.562,6.877,7.576
216,0.895,35.633,10.499,36.457,20.274,5.523,6.877,7.494
217,0.889,35.75,10.511,36.448,20.278,5.522,6.918,7.534
218,0.889,35.856,10.476,36.457,20.274,5.603,6.919,7.494
219,0.892,35.455,10.429,36.438,20.274,5.564,6.959,7.494
220,0.895,35.623,10.436,36.447,20.271,5.523,6.919,7.453
221,0.869,35.721,10.452,36.428,20.267,5.482,6.919,7.412
222,0.869,35.76,10.468,36.399,20.264,5.44,6.837,7.249
223,0.866,35.54,10.433,36.418,20.26,5.399,6.755,7.166
224,0.882,35.701,10.444,36.428,20.26,5.521,6.836,7.206
225,0.885,35.837,10.53,36.447,20.271,5.522,6.837,7.287
226,0.882,35.876,10.523,36.457,20.271,5.522,6.918,7.207
227,0.876,35.532,10.484,36.438,20.271,5.563,6.878,7.206
228,0.879,35.672,10.359,36.438,20.267,5.482,6.837,7.165
229,0.892,35.769,10.443,36.428,20.264,5.522,6.837,7.043
230,0.879,35.818,10.417,36.428,20.267,5.482,6.877,7.082
231,0.902,35.474,10.448,36.418,20.267,5.481,6.796,7.002
232,0.908,35.604,10.487,36.428,20.264,5.481,6.755,6.96
233,0.908,35.721,10.46,36.447,20.271,5.481,6.754,7.0
234,0.915,35.77,10.507,36.467,20.278,5.562,6.876,7.001
235,0.931,35.588,10.515,36.457,20.281,5.645,7.0,7.123
236,0.922,35.74,10.515,36.476,20.285,5.727,7.041,7.083
237,0.915,35.828,10.46,36.476,20.278,5.565,6.879,7.002
238,0.909,35.656,10.487,36.476,20.274,5.523,6.796,6.96
239,0.899,35.568,10.476,36.457,20.274,5.563,6.795,6.96
240,0.908,35.682,10.468,36.457,20.278,5.482,6.755,6.919
241,0.915,35.779,10.491,36.448,20.278,5.562,6.795,6.878
242,0.899,35.435,10.488,36.515,20.278,5.563,6.795,6.877
243,0.905,35.546,10.476,36.458,20.271,5.563,6.755,6.959
244,0.908,35.653,10.523,36.467,20.271,5.604,6.795,6.838
245,0.905,35.75,10.503,36.457,20.278,5.564,6.795,6.918
246,0.899,35.435,10.472,36.495,20.274,5.604,6.755,6.878
247,0.892,35.546,10.472,36.448,20.268,5.523,6.714,6.837
248,0.908,35.663,10.464,36.409,20.257,5.482,6.672,6.714
249,0.925,35.74,10.499,36.437,20.264,5.44,6.631,6.632
250,0.922,35.665,10.452,36.457,20.271,5.521,6.712,6.794
251,0.918,35.788,10.499,36.438,20.271,5.563,6.754,6.673
252,0.922,35.934,10.421,36.457,20.274,5.563,6.795,6.753
253,0.944,35.973,10.479,36.438,20.268,5.563,6.836,6.632
254,0.932,35.283,10.448,36.457,20.271,5.523,6.877,6.672
255,0.935,35.43,10.468,36.438,20.264,5.563,6.877,6.631
256,0.935,35.546,10.421,36.447,20.264,5.523,6.837,6.55
257,0.935,35.615,10.467,36.438,20.264,5.603,6.837,6.59
258,0.935,35.481,10.53,36.447,20.264,5.482,6.958,6.631
259,0.948,35.643,10.527,36.476,20.274,5.603,7.0,6.55
260,0.951,35.759,10.523,36.496,20.285,5.645,7.001,6.671
261,0.925,35.799,10.476,36.515,20.281,5.727,7.163,6.713
262,0.925,35.473,10.483,36.467,20.281,5.646,7.084,6.632
263,0.935,35.604,10.476,36.467,20.275,5.645,7.002,6.631
264,0.935,35.702,10.472,36.467,20.274,5.686,7.001,6.55
265,0.922,35.818,10.46,36.476,20.278,5.687,7.041,6.549
266,0.944,35.474,10.479,36.496,20.278,5.605,7.082,6.63
267,0.932,35.614,10.487,36.477,20.281,5.686,7.083,6.55
268,0.944,35.702,10.538,36.486,20.271,5.646,7.123,6.508
269,0.954,35.52,10.496,36.477,20.278,5.645,7.165,6.508
270,0.951,35.566,10.441,36.486,20.274,5.645,7.124,6.508
271,0.961,35.72,10.53,36.486,20.278,5.645,7.083,6.549
272,0.961,35.789,10.492,36.467,20.268,5.564,7.083,6.468
273,0.964,35.32,10.476,36.448,20.271,5.523,7.083,6.467
274,0.971,35.43,10.472,36.457,20.264,5.482,7.002,6.304
275,0.971,35.585,10.491,36.476,20.278,5.522,7.082,6.384
276,1.007,35.682,10.476,36.486,20.271,5.563,7.083,6.385
277,0.978,35.395,10.507,36.477,20.278,5.523,7.123,6.425
