time,ecg,bvp,gsr,rsp,skt,emg_zygo,emg_coru,emg_trap
0,0.672,36.1,32.625,43.068,34.525,5.727,6.672,9.876
1,0.642,36.255,32.578,43.088,34.529,5.851,6.795,10.04
2,0.636,36.419,32.641,43.058,34.515,5.645,6.549,9.876
3,0.636,36.565,32.672,43.097,34.532,5.851,6.795,9.999
4,0.613,36.042,32.609,43.039,34.518,5.768,6.795,9.999
5,0.642,36.293,32.59,43.068,34.525,5.768,6.754,10.04
6,0.626,36.4,32.574,43.058,34.525,5.727,6.672,10.04
7,0.629,36.516,32.613,43.097,34.522,5.727,6.713,10.081
8,0.629,36.1,32.593,43.078,34.522,5.768,6.672,10.04
9,0.636,36.313,32.672,43.068,34.525,5.81,6.713,10.04
10,0.629,36.468,32.523,43.078,34.518,5.727,6.59,9.999
11,0.639,36.545,32.593,43.088,34.525,5.81,6.754,10.081
12,0.636,36.071,32.601,43.058,34.511,5.727,6.59,9.999
13,0.649,36.274,32.645,43.097,34.529,5.851,6.672,10.04
14,0.642,36.4,32.649,43.175,34.522,5.974,6.754,10.163
15,0.652,36.487,32.562,43.088,34.511,5.727,6.508,9.957
16,0.652,36.119,32.668,43.136,34.536,6.015,6.672,10.122
17,0.646,36.274,32.558,43.078,34.515,5.768,6.59,9.957
18,0.662,36.477,32.609,43.097,34.525,5.892,6.59,10.04
19,0.646,36.439,32.637,43.107,34.522,5.81,6.59,9.999
20,0.649,36.071,32.617,43.097,34.529,5.768,6.59,10.122
21,0.649,36.303,32.558,43.107,34.518,5.892,6.508,10.081
22,0.642,36.448,32.554,43.117,34.522,5.933,6.549,10.122
23,0.642,36.206,32.609,43.097,34.522,5.81,6.385,9.999
24,0.632,36.109,32.617,43.117,34.529,5.892,6.59,10.163
25,0.623,36.293,32.609,43.117,34.522,5.81,6.426,10.163
26,0.623,36.439,32.609,43.146,34.532,5.892,6.426,10.163
27,0.616,36.119,32.593,43.097,34.525,5.892,6.549,10.327
28,0.619,36.293,32.59,43.126,34.525,5.727,6.302,10.04
29,0.619,36.468,32.57,43.165,34.539,5.974,6.508,10.245
